lng,lat
-5.474,50.0417
-5.4265,50.0483
-5.3846,50.0375
-5.3444,50.0117
-5.3343,49.9882
-5.3149,49.935
-5.4857,49.9131
-5.4941,49.9258
-5.5052,49.9628
-5.5445,49.9586
-5.6004,49.926
-5.5907,49.9055
-5.592,49.8911
-5.5007,49.8989
-5.5315,49.8351
-5.513,49.7585
-5.5625,49.6652
-5.6685,49.5082
-5.6546,49.5168
-5.7652,49.5372
-5.7128,49.5741
-5.7891,49.608
-5.849,49.6228
-6.0094,49.5797
-6.0496,49.5599
-6.0413,49.5599
-6.194,49.4188
-6.1773,49.4054
-6.2137,49.3827
-6.2269,49.32
-6.1619,49.2499
-6.0554,49.2019
-6.0847,49.2044
-6.0597,49.1446
-6.1336,49.1503
-6.1084,49.1486
-6.2663,49.126
-6.267,49.0981
-6.3348,49.1291
-6.3545,49.0962
-6.4591,49.0675
-6.4615,48.9985
-6.4734,48.9602
-6.3729,48.8391
-6.3594,48.7653
-6.3269,48.7541
-6.3581,48.7107
-6.3672,48.7426
-6.2531,48.7887
-6.1367,48.8335
-6.05,48.8377
-5.9093,48.8218
-5.8066,48.8413
-5.8355,48.9403
-5.5443,48.9252
-5.3354,49.007
-5.2098,48.9764
-5.1482,48.979
-5.1238,48.9624
-5.0888,48.984
-5.1122,48.9738
-5.0262,49.0384
-4.9003,49.153
-4.7755,49.2079
-4.7061,49.2704
-4.6633,49.2732
-4.6921,49.2256
-4.621,49.1928
-4.6723,49.06
-4.6074,49.024
-4.6132,48.9674
-4.5607,48.9814
-4.6598,48.9076
-4.6253,48.9456
-4.7071,48.9385
-4.891,48.9325
-4.973,48.9837
-4.9984,49.0174
-5.0449,49.0529
-5.1195,49.0989
-5.2716,49.1501
-5.5834,49.1714
-5.7776,49.1483
-5.7487,49.0763
-5.7448,49.0489
-5.585,48.9278
-5.3762,48.8998
-5.2208,48.8963
-4.9164,48.8837
-4.8341,48.9626
-4.775,48.859
-4.7584,48.8195
-4.6706,48.8505
-4.6672,48.8302
-4.5977,48.8591
-4.1528,48.9308
-3.7687,48.9861
-3.6698,48.9931
-3.5012,49.1118
-3.3309,49.1416
-3.4459,49.2323
-3.2307,49.4112
-3.147,49.4376
-2.9419,49.4864
-2.7965,49.4855
-2.6542,49.598
-2.5443,49.4969
