lng,lat
-5.50425,50.29895
-5.3525,50.3622
-5.35999,50.36469
-5.3344,50.3953
-5.2927,50.4237
-5.20489,50.49551
-5.1877,50.4958
-5.1595,50.5336
-5.0438,50.6042
-4.8872,50.6508
-4.8274,50.6882
-4.7883,50.7045
-4.71,50.6949
-4.7346,50.6856
-4.7466,50.6727
-4.7323,50.6825
-4.7026,50.6963
-4.695,50.7025
-4.7641,50.6816
-4.7643,50.665
-4.7377,50.6839
-4.721,50.6916
-4.7006,50.7119
-4.7858,50.6764
-4.6804,50.6961
-4.6802,50.6961
-4.6802,50.6961
-4.68,50.6964
-4.7133,50.6933
-4.7054,50.6997
-4.7247,50.7047
-4.7013,50.7169
-4.7692,50.7066
-4.7582,50.7183
-4.7996,50.7014
-4.8461,50.6871
-4.9348,50.6566
-4.9367,50.6205
-4.8874,50.5968
-4.7826,50.6129
-4.7846,50.6091
-4.8102,50.6122
-4.8095,50.6148
-4.7811,50.713
-4.6708,50.7436
-4.5876,50.7985
-4.5596,50.8207
-4.558,50.8214
