lng,lat
-5.5367,50.0787
-5.5492,50.0513
-5.61525,50.028
-6.1884,50.0579
-6.3581,50.0778
-5.98055,50.05636
-5.8106,49.9551
-5.79379,49.94869
-5.7542,49.9605
-5.571,50.0103
-5.5287,49.99
-5.5035,49.9924
-5.6414,49.9486
-5.68,49.9648
-5.7045,49.9787
-5.753,49.9778
-5.8087,49.9195
-5.7724,49.8979
-5.7185,49.8613
-5.6389,49.8617
-5.6482,49.7831
-5.6435,49.6849
-5.6883,49.5748
-5.8303,49.423
-5.8197,49.4334
-5.9249,49.4459
-5.8715,49.4817
-5.9512,49.5121
-6.0358,49.5223
-6.2012,49.4584
-6.2517,49.4418
-6.2545,49.4497
-6.3982,49.3345
-6.4103,49.2453
-6.4161,49.1728
-6.3545,49.1093
-6.2514,49.0727
-6.3002,49.0724
-6.2734,49.028
-6.3362,49.0309
-6.3049,49.0332
-6.4673,48.9972
-6.4334,48.9657
-6.4868,48.9982
-6.4898,48.942
-6.5456,48.9362
-6.5725,48.8391
-6.5403,48.7751
-6.4915,48.6894
-6.4938,48.6543
-6.463,48.6385
-6.4826,48.5978
-6.4798,48.6312
-6.3833,48.6738
-6.2647,48.7159
-6.1841,48.7151
-6.0526,48.677
-5.9205,48.6899
-5.9262,48.7844
-5.5925,48.7916
-5.3692,48.8578
-5.3209,48.8191
-5.2174,48.8507
-5.263,48.8137
-5.1396,48.8673
-5.2026,48.8253
-5.111,48.9098
-5.0149,49.0119
-4.9462,49.0466
-4.8351,49.1185
-4.8298,49.1188
-4.8685,49.0837
-4.7929,49.0663
-4.8576,48.9692
-4.7876,48.9533
-4.808,48.91
-4.7354,48.9334
-4.7906,48.8792
-4.7091,48.9277
-4.7673,48.9137
-4.9222,48.9195
-5.0015,48.978
-5.0279,49.0105
-5.1084,49.0453
-5.2128,49.1047
-5.3609,49.1402
-5.5944,49.1884
-5.8464,49.1728
-5.8067,49.0644
-5.7451,48.9697
-5.6167,48.9059
-5.4173,48.8634
-5.3032,48.856
-5.011,48.8394
-4.903,48.7723
-4.7173,48.7724
-4.6514,48.7667
-4.5201,48.8233
-4.5423,48.8215
-4.4677,48.9439
-4.0805,49.008
-3.7217,49.0489
-3.5605,49.063
-3.2681,49.1786
-3.2196,49.3106
-3.2404,49.3756
-2.9807,49.4602
-2.8886,49.4388
-2.8333,49.5662
-2.7103,49.6691
-2.4426,49.7491
-2.3761,49.6169
-2.0931,49.5924
-2.0931,49.5924
-2.1014,49.5296
-2.0069,49.614
-1.9349,49.6057
-1.9501,49.696
-1.8915,49.7349
-1.8915,49.7349
-2.0181,49.7109
